topic,date,userid,post
Gas Turbine Tilted Pad Journal Bearing Failure,2018-09-04T11:11:36,PAWANNLNG,"Dear Sir
Oil analysis was done six month back and report was normal. I am attaching only available  vibration plot.
 "
Gas Turbine Tilted Pad Journal Bearing Failure,2018-09-05T07:50:34,SHERUB,"Dear Pawan,
Without referring the diagnostic plots i think its very difficult to pin point the root causes of the failure. For fluid film tilting pad bearings, we need to refer more plots and one plot may not give clear conclusion. My opinion, since i am practicing vibration analyst more into this type of bearings. For hydro machines this type bearings are commonly used.
Sherub"
Gas Turbine Tilted Pad Journal Bearing Failure,2018-09-05T10:52:16,RAMONRUIZ,"Dear Pawannlng, the possibles causes are:
1.- misalignment (external misalignment)
2.- bearing housing excentricity (internal misalignment)
3.- low lub oil pressure in bearing or any restriction in lub line.
4.- over radial load.
5.- Preload in bearing (internal or external)
we can rule out the last possibles causes using technologies that Rotating Guy said (Shaft centerline, sequence of orbit and time signal, bode and polar possible, spectrum, etc).
 "
3309 A/C3 Bearing Premature Failure,2018-08-21T15:35:37,ZAVERI_SAGAR,"Please check out attached bearing failure picture. Bearing failed within 200 Hours after replacement. 
Equipment: centrifugal pump(Flowserev CPX) for water service
Bearing: SKF 3309 C3(DE) and SKF 6309 C3(NDE)
Bearing Failed 3309 C3
Oil Lubricated Bearing VG 68
Running RPM: 900-1100  
Alignment was under range of 0.05mm
Previous bearing life was more than 10000 hours
what could be reason for this failure? Axial/Radial load, Dirt in oil, Bearing manufacturing defects ?
Brief answer is apprenticed
 Note: Its double raw angular contact ball bearing with metal cage. (Cage removed while taking picture) "
3309 A/C3 Bearing Premature Failure,2018-08-31T14:14:15,JOHNNY 5,"The bearing is indicating excessive axial loading for some reason.  It does not indicate the presence of excessive heat.  Is it possible, the lubricant was not correct or incorrect amount?  But that would indicate excessive heat.  This was not a manufacturing defect anything related to the bearing.  Could the bearing have possibly been cocked on the shaft?  I have seen that once before, where the bearing was not seated correctly against the shoulder of the journal.  Find the reason for axial loading and you will find the problem."
3309 A/C3 Bearing Premature Failure,2018-08-31T18:16:48,ZAVERI_SAGAR,"Johnny 5 posted:
The bearing is indicating excessive axial loading for some reason.  It does not indicate the presence of excessive heat.  Is it possible, the lubricant was not correct or incorrect amount?  But that would indicate excessive heat.  This was not a manufacturing defect anything related to the bearing.  Could the bearing have possibly been cocked on the shaft?  I have seen that once before, where the bearing was not seated correctly against the shoulder of the journal.  Find the reason for axial loading and you will find the problem.
Hey Thanks for reply.
I think your doubt about cocked bearing is absolutely right. Because there was spacer between bearing&housing in axial direction, which was out of position in small portion.(we observed it in disassembly). At that time I thought it occurred due to disassembly. Thank you for clarifying my confusion. "
Dry Gas Seal Failures,2018-06-02T04:37:20,SAAD AHMED,"One of our centrifugal compressor 2 BCL 306/A of make GE houses the 3rd and 4th compression stages and is being used at our Urea Plant for feeding CO2 gas into the Urea Reactor at 160 kg/cm2. Compressor is equipped with John Crane make Dry Gas Seals of type 28AT at its drive and non-drive ends. In the last two and a half months, we have experienced twice the failure of non-drive end dry gas seal of aforesaid compressor; details are narrated below:
 The compressor was overhauled in September 2016 and both drive end and non-drive end seal cartridges were replaced. Since then the compressor had been in service No anomaly had been observed in any of the dry gas seals, i.e., no rise in the seal vent pressures till February 2018.
 In February 2018, during annual turnaround of our Urea plant, only bearings of the compressor were replaced and seal cartridges were not removed.  After turnaround, when machine was taken in service, we started experiencing the rise in the vent pressures of only non-drive end dry gas seal; it went up to 7 kg/cm2 against the normal value of 0.2 kg/cm2.
 Moreover, a sharp rise in the replacement frequency of dry gas seal filters was observed; every time when we have dismantled the filter housing for replacing the filter, we have found the cotton fiber filters (5 micron size) covered with brownish dust. Lab analysis revealed the presence of Iron in the process CO2 Pertinent to mention that as the pressure difference of 0.5 kg/cm2 has been maintained between filtered and non-filtered gas all the time of operation, it is therefore confirmed that Iron is passing through the filters
 On April 04, 2018 availing the opportunity of Urea plant outage, the compressor was off lined and both seals were replaced. Upon dismantling the cartridge of non-drive end seal, all internals were found covered with layer of iron rust. Seat and balanced face was in good condition; only balanced face O-ring and thrust ring were found damaged / dislodged.
 The cartridge of drive end seal was found in clean condition and no Iron dust was found on its internals.
 After the maintenance, vent pressure of drive end dry gas seal dropped to normal values of 0.15 to 0.20 kg/cm2. However, after operation of 5 to 6 weeks, again the vent pressure of only non-drive seal started creeping up and as of to date the vent pressure is reached up to 3 kg/cm2.
 Can anyone shed light on this phenomenon. Questions that come to mind:
Is the fine Iron dust responsible for repeated failure of non-drive end dry gas seal; if so how Iron is impairing the functionality of dry gas seal.
Why Iron dust is only going into the non-drive end dry gas seal and not in the drive end seal. Be noted that d/s of filter the same line splits into two lines leading to each seal ."
Dry Gas Seal Failures,2018-06-06T07:10:05,LÊ VŨ,"Dear SAAD AHMED!
I don't know why iron can enter dry gas seal, because pressure of filtered gas always higher process gas at compressor.
At our plant we have same problem with DGS, however root cause to failure DGS is liquid enter DGS to damage seal face.
 "
Dry Gas Seal Failures,2018-06-19T10:59:12,OCEAN,"Dear Ahmed
contamination  is from the gas process inside de compressor which brings with it particules of iron
same problem for our case that happened last year  , but with oil which came from another equipement  and flood the compressor slowly .
 "
Dry Gas Seal Failures,2018-08-23T15:21:15,DAVE REYNOLDS,"How about materials of construction and pH of product, is the piping associated with the failing seal made of different material?
Dave"
Motor triping issue,2018-05-15T13:47:33,BIJOY PRADHAN,"Dear Members ,
Here I am informing to all I am facing problem in Air Fin Fan cooler at my working plant (Methanol Company ).
Problem : High vibration was observed at gearbox  .
after replacing new gearbox I take motor solo run reading vibration was observed normal  and during solo run no tripping and also more then 1 hour running no tripping.
 After that inform connect coupling and confirm for test run .
Today I went for test run after 12 min of normal operation motor tripped .
1.Motor and gearbox Overall maximum vibration was 4.5 mm/sec .
2.The high vibration 4.5mm/sec was observed at motor vertical direction . 
3.Motor and gearbox temperature found normal around 45 c
4.Motor Amps @ 70 another fin fan cooler running as a same AMPS .
Motor Running RPM 1140
Out put RPM 224
Motor Kw - 55
So any one suggest me the problem (motor or gearbox )and the cause of tripping .
    "
Motor triping issue,2018-05-16T00:25:36,ROTATING GUY,"Hi Bijoy,
What is the tripping point? high current? vibration?
try check the OL setting, also what is the driven by the gearbox? conveyor? or else?
regards,"
Motor triping issue,2018-05-16T03:42:23,MATESO LUGODISHA SAHAN,"Hi Bijoy,
What is motor capacity? What driven by gearbox ? and also what tripping point ? high vibration or high current?
What power line frequency is 60Hz or 50Hz?"
Motor triping issue,2018-05-16T10:19:56,BIJOY PRADHAN,"Dear Rotating guy and Mateso  Lugodisha ,
Motor capacity : 55 kw
Tripping Point and high Current : 70 amps
High Vibration : 4.5 mm/sec
Air Fin cooling fan driven by gearbox.
Motor Volt : 440"
Motor triping issue,2018-05-17T14:30:32,SHURAFA,"I agree with the others as they are asking to specify what signal caused the motor to activate the shutdown. Did the motor trip on high vibration or overload or something else?
 If I correctly understood your posts, the trip took place on electrical protection when the motor current activated the overload trip relay. This is odd if an identical sister machine runs at the same current but it does not trip.
Can you confirm my understanding ?
 Regards- Ali M. Al-Shurafa "
Motor triping issue,2018-05-21T05:25:29,ROTATING GUY,"Bijoy,
Try to replace the thermal overload relay.
regards,"
Motor triping issue,2018-06-06T09:21:40,BIJOY PRADHAN,"Finally we found the problem for Motor Tripping issue ......
Rated AMPS = 88
Before tripping rely  was  80 AMPS after that rely set 80 to 88 AMPS.
 Now equipment healthy condition and running smoothly . 
   "
Motor triping issue,2018-06-06T14:34:46,SHURAFA,Thank you for the update. 
Repetitive inner race defect in Motor DE bearing,2018-05-02T04:46:29,VIDYA SAGAR,"Hi Friends,
          In one of our HT motor we found inner race defect with side bands of 1XRPM in the spectrum and yesterday  we inspected the bearing and found inner race was cracked.But the history of the equipment says it has already two breakdowns with inner race problem.During the first time inner race was having dent and during second time inner race got seized.
Equipment Details
Motor RPM:1489
Motor KW:1600
NDE bearing:NU 228
DE bearing:NU 234 + 6234
Application:Cement Grinding
          What could be the cause of repetitive inner race damage ???
Thanks in advance.
 "
Repetitive inner race defect in Motor DE bearing,2018-05-02T04:54:34,ROTATING GUY,"Hi Vidya,
How many months before the previous failing of inner race was? do you have any monitoring device or just a scheduled monitoring?
in my previous experience, we get this inner race failure when bearing fit and clearance was not achieve.
 regards,"
Repetitive inner race defect in Motor DE bearing,2018-05-02T05:47:30,VIDYA SAGAR,"Hi RG,
          previous failure was 2 years back and we use SPM instrument for condition monitoring.Does fitment and clearance is the cause for three failures??
Any Problem due to load ???"
Repetitive inner race defect in Motor DE bearing,2018-05-02T06:50:17,ROTATING GUY,"Vidya,
how much is the amount of impacting before this happen? is there a temperature increase before? after that crack when you ovehaul, did the inner race spun on the shaft?
regards,"
Repetitive inner race defect in Motor DE bearing,2018-05-02T09:40:05,VIDYA SAGAR,"RG,
       There is no significant increase in temperature and yes inner race spun on shaft.
i didn't get what exactly impacts u are asking,whether the load or in TWF??
 "
Repetitive inner race defect in Motor DE bearing,2018-05-07T21:32:47,SLEDDER,"Measure the bearing fit on the shaft, maybe it's way over sized."
Repetitive inner race defect in Motor DE bearing,2018-05-15T05:15:06,ROTATING GUY,"vidya Sagar posted:
Hi RG,
          previous failure was 2 years back and we use SPM instrument for condition monitoring.Does fitment and clearance is the cause for three failures??
Any Problem due to load ???
Im just curious that this is sudden failure or the failure developed? i doubt at the data collection since this is not sees that will generate fault.
regards,"
Vibration at 5X NDE AND DE V for Centrifugal Pump,2018-04-18T12:49:04,WSS,"Vibration was observed in a recently overhauled centrifugal pump in 5X at pump NDE and DE V.FFT is attached
There is no chance of vane pass effect since the pump was overhauled recently and no damages where observed."
Vibration at 5X NDE AND DE V for Centrifugal Pump,2018-04-19T11:12:38,DAVE REYNOLDS,"WSS
Many styles of centrifugal pumps, can you add more detail
Most of the time, pumps have 2-3 bearings/shaft/impeller/coupling. So if you truly have a 5x peak synchronous to machine running speed and you have 5 vanes on the impeller, then it is vane pass. Bearings will be non-synchronous data
I also see what appears to be harmonics of vane pass, did you change impeller size recently, is there a check valve or valve in general that is stuck or not working properly?
Just by ""overhauling"" a pump does not mean it can not have vane pass......."
Vibration at 5X NDE AND DE V for Centrifugal Pump,2018-04-19T11:58:31,WSS,"The pump was overhauled as a part of routine maintenance ,there was no indication of vibration prior to overhauling.
LPT was carried out on impeller during overhauling and no damages where observed also when we calibrated the rotor for balancing we found that it was already under tolerance.
This are the main reasons I ruled out vane pass.
This horizontally mounted centrifugal pump acts as a overhung rotor,having a bellow in the suction side and connected to motor using a flexible coupling.Pump has 2 angle contact bearing in DE and one radial bearing in NDE.
I carried out shock pulse test and found bearing pulse to be just under warning range"
Vibration at 5X NDE AND DE V for Centrifugal Pump,2018-04-20T07:37:39,ROTATING GUY,"WSS
spectrum wasn't sufficient enough for analysing, if you could provide enveloping and TWF will help to know what is fault.
 try to run motor alone and gathered the data and check if this frequency arise.
regards,
 "
Vibration at 5X NDE AND DE V for Centrifugal Pump,2018-04-21T12:55:19,DAVE REYNOLDS,"The pump was overhauled as a part of routine maintenance ,there was no indication of vibration prior to overhauling. ok, then it should not be vibrating now right....then something changed...is the pump running backwards, just because the valve handle moved does not mean the internals moved, did something fall/collapse and block pump inlet, are flows and pressure normal, did you change impeller size
I assume ""calibrated"" means balanced the impeller
This are the main reasons I ruled out vane pass. I agree that as long as you did not change impeller size or design then there should not be vane pass, but if the suction or discharge of your pump is partially blocked you can see vane pass, it is created by hydraulic issues with pump performance. Like not enough liquid on suction side or restricted piping on discharge due to dirt buildup
This horizontally mounted centrifugal pump acts as a overhung rotor,having a bellow in the suction side and connected to motor using a flexible coupling.Pump has 2 angle contact bearing in DE and one radial bearing in NDE.
I carried out shock pulse test and found bearing pulse to be just under warning range shock pulse does not account for vane pass or 1x or 2x, it uses the ultrasonic range to identify faults at an early stage, very sensitive to flow/cavitation/lubrication defects
https://en.wikipedia.org/wiki/Shock_Pulse_Method
Dave"
Vibration at 5X NDE AND DE V for Centrifugal Pump,2018-04-22T05:16:07,WSS,"Thank you guys for your reply.The pump is at site and we are service contractors.So is it safe to conclude that occurrence of vibration is not due to any wrong procedure in overhauling (ie. balancing,Replaced bearings and gasket,mech seal test)? 
Please note we had changed the bearings too."
Vibration at 5X NDE AND DE V for Centrifugal Pump,2018-04-28T14:30:38,CHARY TATTA,"Greetings team
 Very Interesting case. only 5X dominating. No problems noticed in spectrum. All unique components are in good condition.  
3.84 mm/s at 5X is still in normal condition. However, the cause of 5X dominant can appear due to flow conditions like impeller stall. 
 Check the pump suction and delivery valves, system flow conditions (full flow or throttled flow) Load on motor etc.,
Pleased to see such isolated case.
 regards
Chary
 "
Vibration at 5X NDE AND DE V for Centrifugal Pump,2018-04-29T07:25:27,WSS,"Dear Mr.Chary,
Its 4.8mm/s now.We are planing to take it down once it peaks over  5.5mm/s and give a check of the valves and other flow condition.The check valve on discharge line is normally on full open or full closed condition."
Vibration at 5X NDE AND DE V for Centrifugal Pump,2018-04-29T15:30:25,CHARY TATTA,"GREETINGS
WELL NOTED. 
THANKS FOR YOUR FEEDBACK.
PLEASE FOLLOW THIS METHOD AND TRY HOW YOUR VIBRATIONS ARE INDICATING.
1. CLOSE DISCHARGE VALVE AND START THE PUMP AFTER FEW SECONDS AT FULL SPEED AT MAXIMUM PRESSURE MEASURE THE VIBRATION SLOWLY OPEN DISCHARGE VALVE AND MEASURE THE VIBRATION. 
IF FLOW INCREASING TIME VIBRATION RISING IT IS RELATED TO FLOW SURGES CAUSING THE VIBRATION. IF STEADY AT EVERY DISCHARGE VALVE POSITION THEN THE VIBRATION IS NOT FLOW RELATED.
ALSO TAKE RUN UP AND COAST DOWN AND RECORD RESONANCE FREQUENCY.
BUMP TEST ALSO HELPS BUT RUN UP/COAST DOWN IS BETTER.
APPRECIATE YOUR FEEDBACK.
 REGARDS
CHARY
 "
High Vibration on bearing #2 and #3 on gas Turbine frame 9E (100 MW),2018-04-03T15:03:27,AHMAD ALFAKEER,"Dear all 
We have an issue  high vibration on BRG #2&3 ,  finish the Major Inspection on this unit when we start the unit , at FSNL ( 3000 RPM ) the vibration for BRG # 2&3 stable not exceed (6 mm/s ) , when the unit is loaded the vibration increase on BRG 2&3 Only , at full load the Vibration reach on BRG # ( 9- 13 mm/s fluctuating ) and BRG #3 ( 7- 8.5 mm/s ) , and in the MI inspection we made casing Alignment as recommended from  manufacturer GE because when open the unit we found the BRG # 2 is damage from Upper haif and BRG # 3 is damage on lower haif and there is oval on AFT compressor casing and before open unit the vibration on BRG # 2 reached ( up to 19mm/s ) , all bearing replaced BY new ones and the vibration still , please to advice me to know what is the cause of vibration .
note : all vibration on BRG # 4 & 5 are smooth not exceed  (2mm/s )at Full load 
thanks in advance "
High Vibration on bearing #2 and #3 on gas Turbine frame 9E (100 MW),2018-04-09T17:04:12,AHMAD ALFAKEER,"Ahmad alfakeer posted:
Dear all 
We have an issue  high vibration on BRG #2&3 ,  finish the Major Inspection on this unit when we start the unit , at FSNL ( 3000 RPM ) the vibration for BRG # 2&3 stable not exceed (6 mm/s ) , when the unit is loaded the vibration increase on BRG 2&3 Only , at full load the Vibration reach on BRG # ( 9- 13 mm/s fluctuating ) and BRG #3 ( 7- 8.5 mm/s ) , and in the MI inspection we made casing Alignment as recommended from  manufacturer GE because when open the unit we found the BRG # 2 is damage from Upper haif and BRG # 3 is damage on lower haif and there is oval on AFT compressor casing and before open unit the vibration on BRG # 2 reached ( up to 19mm/s ) , all bearing replaced BY new ones and the vibration still , please to advice me to know what is the cause of vibration .
note : all vibration on BRG # 4 & 5 are smooth not exceed  (2mm/s )at Full load 
thanks in advance 
please to help me ???"
High Vibration on bearing #2 and #3 on gas Turbine frame 9E (100 MW),2018-04-10T11:51:24,NGO DINH,"First, I think you should give us some data (APHT trend, waterfall, SCL, orbit... if any)for review and also the arrangement of machine. I do not know where is bearing#2 or 3 and so on. 
You said that the casing have done bore alignment due to center of bearing housing 2 and 3 is not coincided. How about the alignment result and how about the rotor center position check (done at some hole on casing). how about labyrinth clearance at both side of bearing? how about the phase?"
Carbon ring seal used for integrally geared centrifugal compressor,2018-03-19T16:16:43,LUX,"Dear Friends,
Anyone had the expience of carbon ring seal used for centrifugal compressor and would like to give me some comments on the following issues.
In these years we always experienced many issues of carbon ring seals on our integrally geared centrifugal compressors. The main issues on the carbon ring seals are as follows:
Broken detent pinè then carbon ring was rotated together shaft in the seal housing.
The lip seal of carbon seal is completely worn out and subsequently the carbon ring was stuck at this positionè cannot float so as to result in high vibration.
Stuck carbon ring in the seal housingè then uneven wear on the carbon ring è finally resulted in machine trip caused by high vibration.
Worn detent pin hole on the carbon ringè then carbon ring was unable to freely float in the seal housingè finally resulted in rubbing with shaft and consequent machine high vibration trip.
These pictures of current carbon seals are attached below for your reference. .
I don’t find any information of the damaged carbon seal in the compressor manual, but I saw the following description of carbon seals in the manual of another compressor that the attention must be paid to be direction dependent position of the detent pins and from the picture, it looks like the detent pin position should be set at horizontal direction but not like our current mounting position that the detent pin is put at basically vertical direction with an angle offset of 11.5 degrees towards left or right.
Could you kindly help on the following questions:
The detent pin must be put at horizontal direction ( 3’ clock or 6’ clock)? -----If this is necessary during the mounting, then could you kindly tell me what the real reason is ?
The detent pin must be depended on the shaft rotation direction? ----If this is necessary during the mounting, then could you kindly tell me what the real reason is?
What is a proper length of the detent pin? Because we always find that the pin is broken or worn, we have to machine some pins for the mounting of new carbon ring during the urgent cases. It is better if you can tell me the actual requirement on the length of the detect pin.
We also have carbon ring (from your company) designed on the Siemens compressors, but till now we haven’t experienced any issues on these machines. I believe the current issue should be caused by some reasons besides carbon seal self, such as carbon seal installation….. Could you kindly teach me that details should be well followed during the actual installation, otherwise it will be able to cause those issues mentioned above.
  Your kind help on my questions will be very appreciated. Looking forward to seeing your reply"
1X AC line frequency excitation in Motor,2018-02-03T15:23:27,THE MANIAC,"A centrifugal fan 168 kW, 1480 RPM Overhung with Flexible pin bush coupling was running normal with vibration max 3 mm/s since 4 years. There was a sudden increase in vibration at 2x RPM frequency up to 8 mm/s inin coupled condition at motor NDE side Horizontal and fan NDE vibration observed max 3.6 mm/s with minor looseness symptoms . Motor Solo run was taken and observed with 1x Line frequency(49.97 Hz) observed dominant in spectrum with vibration observed up to 3.4 mm/s in motor NDE horizontal. Motor was observed with humming sound in solo run. During the coast down Water Fall spectrum data was taken and found that the line frequency disappeared immediately after power cut-off. what could be the possible source of excitation of 1x Line frequency?"
1X AC line frequency excitation in Motor,2018-02-05T09:23:26,ROTATING GUY,"Hi,
Could you please send more details like FFT, TWF on what your are telling on your post.
regards,"
1X AC line frequency excitation in Motor,2018-02-06T06:22:23,THE MANIAC,"Pls find the attachment for spectrum and wave form attached
 "
Primary air fan High vibration in Motor DE brg.,2017-06-16T17:05:53,TUSHAR000001,"PA Fan Motor DE vibration : 20 microns/10.5mm/sec
Spectrum attached ,peakvue shows BPFO faults frequency"
Primary air fan High vibration in Motor DE brg.,2017-06-16T17:08:22,TUSHAR000001,"my query is:
1. what is the stage of failure of bearing?
2. Should we change the bearing ?
Motor is squirrel cage induction motor ,6.6 Kv
Bearing on DE side: SKF NU230"
Primary air fan High vibration in Motor DE brg.,2017-06-19T12:49:07,TUSHAR000001,why no one is replying? is this forum no more active?
Primary air fan High vibration in Motor DE brg.,2018-01-12T06:50:45,ROTATING GUY,"do you have TWF data? if any please provide.
regards,"
